adult,genre_ids,id,original_language,original_title,popularity,release_date,title,vote_average,vote_count
False,[18],221,en,Rebel Without a Cause,28.729,1955-10-27,Rebel Without a Cause,7.5,1536
False,"[14, 35, 10749]",59436,en,Midnight in Paris,34.862,2011-05-11,Midnight in Paris,7.534,7043
False,"[35, 10752]",11686,en,Love and Death,23.108,1975-06-10,Love and Death,7.534,820
False,"[18, 10749, 10752]",907,en,Doctor Zhivago,23.355,1965-12-22,Doctor Zhivago,7.534,1074
False,[35],37769,it,Il secondo tragico Fantozzi,7.474,1976-04-15,The Second Tragic Fantozzi,7.533,583
False,"[16, 18]",83389,ja,コクリコ坂から,39.664,2011-07-16,From Up on Poppy Hill,7.533,1645
False,"[27, 18]",13310,sv,Låt den rätte komma in,21.81,2008-10-24,Let the Right One In,7.532,2776
False,[18],881,en,A Few Good Men,35.101,1992-12-11,A Few Good Men,7.532,3354
False,[35],430,en,"One, Two, Three",15.509,1961-12-15,"One, Two, Three",7.5,349
False,"[35, 18]",491418,en,Instant Family,44.061,2018-11-16,Instant Family,7.531,2798
False,"[10751, 16, 35]",532,en,A Close Shave,17.986,1995-04-10,A Close Shave,7.531,749
False,"[37, 18, 12]",281957,en,The Revenant,73.511,2015-12-25,The Revenant,7.5,17545
False,"[16, 28, 878, 18, 14]",39323,ja,ドラゴンボールZ たったひとりの最終決戦〜フリーザに挑んだZ戦士 孫悟空の父〜,95.492,1990-10-17,Dragon Ball Z: Bardock - The Father of Goku,7.529,642
False,"[18, 9648]",5165,it,L'avventura,13.398,1960-09-14,L'Avventura,7.5,639
False,[53],21734,en,Shadow of a Doubt,26.234,1943-01-15,Shadow of a Doubt,7.528,966
False,"[12, 37, 35, 18]",11040,en,Little Big Man,19.336,1970-12-14,Little Big Man,7.528,581
False,"[18, 36]",1883,en,Malcolm X,33.926,1992-11-18,Malcolm X,7.5,1554
False,"[28, 80, 53]",1051,en,The French Connection,23.338,1971-10-09,The French Connection,7.528,1717
False,"[28, 12, 10751, 35]",675353,en,Sonic the Hedgehog 2,114.588,2022-03-30,Sonic the Hedgehog 2,7.527,4623
False,"[18, 80, 53]",382614,en,The Book of Henry,24.966,2017-06-16,The Book of Henry,7.527,1252
False,"[18, 14, 10749]",16633,en,Somewhere in Time,20.328,1980-10-02,Somewhere in Time,7.526,532
False,"[18, 53, 80, 9648]",15472,sv,Män som hatar kvinnor,32.777,2009-02-27,The Girl with the Dragon Tattoo,7.526,2828
False,"[28, 53, 80]",11782,cn,辣手神探,30.515,1992-04-16,Hard Boiled,7.526,739
False,"[53, 18]",4553,en,The Machinist,21.717,2004-07-02,The Machinist,7.526,5271
False,"[10752, 18, 28]",228150,en,Fury,92.958,2014-10-15,Fury,7.525,11426
False,"[28, 12, 878]",127585,en,X-Men: Days of Future Past,72.569,2014-05-15,X-Men: Days of Future Past,7.525,14768
False,"[18, 10749, 35]",660120,no,Verdens verste menneske,21.557,2021-10-13,The Worst Person in the World,7.524,1182
False,"[18, 53]",10734,en,Escape from Alcatraz,37.139,1979-06-22,Escape from Alcatraz,7.5,2627
False,"[18, 80]",9516,en,Menace II Society,20.697,1993-05-26,Menace II Society,7.524,723
False,"[10749, 18, 53]",3767,en,Gilda,21.758,1946-04-25,Gilda,7.524,543
False,[27],571,en,The Birds,33.561,1963-03-28,The Birds,7.524,3859
False,"[18, 36]",850165,en,The Iron Claw,115.021,2023-12-21,The Iron Claw,7.523,368
False,"[18, 35]",364137,fr,Nous trois ou rien,9.939,2015-11-04,All Three of Us,7.523,472
False,"[14, 16, 35, 80]",856,en,Who Framed Roger Rabbit,31.123,1988-06-21,Who Framed Roger Rabbit,7.523,5405
False,"[16, 28, 14]",666243,en,The Witcher: Nightmare of the Wolf,26.865,2021-08-23,The Witcher: Nightmare of the Wolf,7.522,886
False,"[10751, 14, 16]",433471,en,Lou,13.25,2017-06-16,Lou,7.522,370
False,"[16, 10751]",11544,en,Lilo & Stitch,71.412,2002-06-21,Lilo & Stitch,7.522,5886
False,"[10402, 35, 10749, 18]",11113,en,My Fair Lady,26.885,1964-10-21,My Fair Lady,7.521,1224
False,"[37, 28]",966,en,The Magnificent Seven,45.641,1960-10-12,The Magnificent Seven,7.522,1675
False,"[80, 18, 9648]",592,en,The Conversation,25.219,1974-04-07,The Conversation,7.522,1592
False,"[18, 36, 10752]",10110,en,Empire of the Sun,28.688,1987-12-09,Empire of the Sun,7.521,1820
False,"[18, 53]",552178,en,Dark Waters,27.986,2019-11-22,Dark Waters,7.52,1980
False,"[18, 35, 53]",375262,en,The Favourite,57.427,2018-11-23,The Favourite,7.52,5181
False,"[16, 28, 878]",39324,ja,ドラゴンボールZ・絶望への反抗!!残された超戦士・悟飯とトランクス,55.974,1993-02-24,Dragon Ball Z: The History of Trunks,7.52,494
False,"[14, 28, 53]",9495,en,The Crow,65.034,1994-05-11,The Crow,7.52,3719
False,"[35, 10749, 18]",6620,en,Sabrina,23.557,1954-09-10,Sabrina,7.52,1172
False,"[878, 28, 12, 53]",106,en,Predator,80.946,1987-06-12,Predator,7.52,7614
False,[18],476968,en,"Paul, Apostle of Christ",40.063,2018-03-23,"Paul, Apostle of Christ",7.519,324
False,[18],216156,en,Still Life,17.264,2013-11-28,Still Life,7.5,337
False,"[16, 10751, 35, 878]",13413,en,BURN·E,19.246,2008-11-17,BURN·E,7.519,698
False,[18],5708,en,Control,17.8,2007-09-12,Control,7.519,791
False,"[80, 18, 9648, 53]",1949,en,Zodiac,37.725,2007-03-02,Zodiac,7.519,9980
False,"[35, 12, 878]",550988,en,Free Guy,61.212,2021-08-11,Free Guy,7.518,8140
False,"[10749, 18]",132344,en,Before Midnight,23.261,2013-04-05,Before Midnight,7.5,2256
False,"[18, 14, 53]",503919,en,The Lighthouse,34.792,2019-10-18,The Lighthouse,7.5,4560
False,"[10751, 16, 12, 35, 80]",15371,ja,ルパン三世 カリオストロの城,40.203,1979-12-15,Lupin the Third: The Castle of Cagliostro,7.517,963
False,[18],12498,en,Sling Blade,20.471,1996-08-30,Sling Blade,7.517,726
False,"[80, 18, 10749]",3133,en,Badlands,20.333,1974-01-05,Badlands,7.517,1103
False,"[18, 10752]",1786,fr,Au revoir les enfants,19.074,1987-10-07,Au Revoir les Enfants,7.517,612
False,"[35, 80, 18, 36]",487558,en,BlacKkKlansman,32.788,2018-08-09,BlacKkKlansman,7.517,7255
False,"[18, 36]",850165,en,The Iron Claw,115.021,2023-12-21,The Iron Claw,7.523,368
False,"[35, 10751]",668742,es,Padre no hay más que uno 2: la llegada de la suegra,17.053,2020-07-29,Father There Is Only One 2,7.515,519
False,"[18, 27, 9648, 53]",63311,es,La piel que habito,30.707,2011-08-17,The Skin I Live In,7.515,3994
False,"[35, 10749]",42801,it,"Ieri, oggi, domani",11.297,1963-12-21,"Yesterday, Today and Tomorrow",7.5,397
False,"[12, 35, 10751]",9340,en,The Goonies,45.049,1985-06-07,The Goonies,7.515,5447
False,"[878, 12, 10751, 14]",601,en,E.T. the Extra-Terrestrial,46.043,1982-06-11,E.T. the Extra-Terrestrial,7.515,10778
False,[35],4593,fr,Le Charme discret de la bourgeoisie,16.666,1972-09-15,The Discreet Charm of the Bourgeoisie,7.512,739
False,[27],11906,it,Suspiria,41.551,1977-02-01,Suspiria,7.512,2757
False,"[18, 80]",11327,en,Midnight Express,26.93,1978-08-31,Midnight Express,7.511,1611
False,[18],10161,en,My Left Foot: The Story of Christy Brown,20.524,1989-04-07,My Left Foot: The Story of Christy Brown,7.511,851
False,"[18, 10402]",786,en,Almost Famous,30.456,2000-09-15,Almost Famous,7.511,2563
False,[18],179144,it,La grande bellezza,21.899,2013-05-21,The Great Beauty,7.51,2976
False,"[80, 18]",16958,en,The Asphalt Jungle,22.534,1950-05-12,The Asphalt Jungle,7.51,445
False,[18],3116,en,Midnight Cowboy,28.935,1969-05-25,Midnight Cowboy,7.511,1302
False,"[53, 18]",982,en,The Manchurian Candidate,19.932,1962-10-24,The Manchurian Candidate,7.51,657
False,"[18, 80]",468284,fr,L'Insulte,11.762,2017-09-14,The Insult,7.509,440
False,"[18, 12, 28, 36]",79,zh,英雄,25.556,2002-07-22,Hero,7.508,2128
False,"[35, 36]",544510,fr,Edmond,11.751,2018-11-10,"Cyrano, My Love",7.507,475
False,[18],85350,en,Boyhood,28.239,2014-06-05,Boyhood,7.507,4951
False,[35],15097,fr,La Cité de la peur,16.683,1994-03-09,Fear City: A Family-Style Comedy,7.507,1181
False,[18],26280,fr,J'ai tué ma mère,16.546,2009-06-05,I Killed My Mother,7.506,1063
False,[35],11356,en,The Odd Couple,18.706,1968-05-16,The Odd Couple,7.506,543
False,"[10752, 18, 36]",11202,en,Patton,18.479,1970-01-25,Patton,7.506,1022
False,[18],16391,en,Black Narcissus,18.753,1947-05-26,Black Narcissus,7.505,440
False,"[16, 10751, 14, 12, 35, 10749]",11970,en,Hercules,70.446,1997-06-20,Hercules,7.504,7051
False,"[35, 80, 9648]",3529,en,The Thin Man,15.908,1934-05-25,The Thin Man,7.505,428
False,"[10751, 12, 16, 35, 14]",301528,en,Toy Story 4,99.297,2019-06-19,Toy Story 4,7.504,9378
False,"[10751, 35]",11528,en,The Sandlot,26.574,1993-04-07,The Sandlot,7.497,1088
False,"[18, 53]",7735,de,Die Welle,15.539,2008-03-13,The Wave,7.504,3171
False,"[35, 18]",5143,en,Hannah and Her Sisters,19.343,1986-02-07,Hannah and Her Sisters,7.504,977
False,[18],916405,ga,An Cailín Ciúin,18.647,2022-05-12,The Quiet Girl,7.5,322
False,"[18, 10749, 9648, 14]",1600,fr,La Double Vie de Véronique,17.254,1991-05-15,The Double Life of Véronique,7.503,726
False,"[18, 35]",437586,en,mid90s,32.498,2018-10-19,mid90s,7.498,1499
False,"[28, 80, 53]",9056,cn,警察故事,23.012,1985-12-14,Police Story,7.5,816
False,"[12, 16, 10751, 28]",552095,en,PAW Patrol: Mighty Pups,31.165,2018-10-04,PAW Patrol: Mighty Pups,7.501,568
False,"[10751, 14, 35]",252,en,Willy Wonka & the Chocolate Factory,58.409,1971-06-29,Willy Wonka & the Chocolate Factory,7.501,3362
False,"[10402, 18, 10749]",332562,en,A Star Is Born,48.807,2018-10-03,A Star Is Born,7.5,11341
False,"[35, 18, 10749]",24807,en,Mr. Deeds Goes to Town,14.04,1936-04-09,Mr. Deeds Goes to Town,7.5,332
False,"[12, 36, 28]",2000,de,"Aguirre, der Zorn Gottes",15.97,1972-12-29,"Aguirre, the Wrath of God",7.5,1024
False,"[35, 18, 36]",522,en,Ed Wood,27.822,1994-09-27,Ed Wood,7.5,2189
False,"[18, 35, 36]",551332,en,The Two Popes,20.94,2019-11-27,The Two Popes,7.499,2733
False,"[18, 9648]",37903,de,Das weiße Band - Eine deutsche Kindergeschichte,19.011,2009-09-24,The White Ribbon,7.499,965
False,"[18, 10749, 35]",127501,hi,बर्फी!,14.7,2012-09-13,Barfi!,7.498,301
False,"[16, 18, 14]",9081,en,Waking Life,24.447,2001-10-19,Waking Life,7.498,830
False,"[18, 28]",7549,zh,霍元甲,24.384,2006-01-26,Fearless,7.498,1206
False,"[16, 10751, 12, 14, 35]",529203,en,The Croods: A New Age,80.967,2020-11-25,The Croods: A New Age,7.497,3649
False,"[80, 36, 18]",466420,en,Killers of the Flower Moon,150.084,2023-10-18,Killers of the Flower Moon,7.498,2652
False,"[18, 35]",389015,en,"I, Tonya",32.565,2017-12-08,"I, Tonya",7.5,5567
False,"[35, 18, 10751]",4291,ja,菊次郎の夏,23.269,1999-06-05,Kikujiro,7.497,479
False,"[35, 10749]",860159,en,Crush,29.813,2022-04-29,Crush,7.5,387
False,"[18, 14]",345938,en,The Shack,61.253,2017-03-03,The Shack,7.496,2036
False,[18],284293,en,Still Alice,28.812,2014-12-05,Still Alice,7.496,2949
False,"[16, 14, 28, 12]",176983,ja,ワンピース フィルム ゼット,33.027,2012-12-15,One Piece Film: Z,7.496,480
False,"[35, 10749]",1859,en,Ninotchka,19.369,1939-11-23,Ninotchka,7.496,364
False,"[18, 28, 10752]",517093,ru,Балканский рубеж,51.491,2019-03-21,Balkan Line,7.495,464
False,"[10749, 18]",258480,en,Carol,32.19,2015-11-20,Carol,7.496,3549
False,"[18, 80]",74879,tr,Bir Zamanlar Anadolu'da,11.847,2011-09-23,Once Upon a Time in Anatolia,7.495,439
False,"[28, 53]",4909,en,The Day of the Jackal,22.945,1973-05-15,The Day of the Jackal,7.495,509
False,"[28, 80, 18]",2034,en,Training Day,49.829,2001-10-05,Training Day,7.495,5613
False,"[16, 35, 10751]",1075794,en,Leo,147.234,2023-11-17,Leo,7.497,1001
False,"[878, 53, 27]",520763,en,A Quiet Place Part II,78.202,2021-05-21,A Quiet Place Part II,7.495,5989
False,[18],13384,en,Kes,17.473,1970-04-03,Kes,7.494,362
False,"[12, 18]",983,en,The Man Who Would Be King,15.933,1975-12-03,The Man Who Would Be King,7.494,586
False,"[10751, 16, 14, 12, 35]",400160,en,The SpongeBob Movie: Sponge on the Run,59.155,2020-08-14,The SpongeBob Movie: Sponge on the Run,7.493,2772
False,[27],923,en,Dawn of the Dead,36.548,1978-09-02,Dawn of the Dead,7.493,1955
False,"[80, 18]",475,en,Bonnie and Clyde,27.771,1967-08-14,Bonnie and Clyde,7.493,1516
False,"[10751, 12, 18]",780382,en,Le Loup et le Lion,18.233,2021-10-13,The Wolf and the Lion,7.492,378
False,"[10749, 18]",11854,hi,कुछ कुछ होता है,21.916,1998-10-16,Kuch Kuch Hota Hai,7.5,360
False,"[16, 18, 14]",586940,fr,J'ai perdu mon corps,18.666,2019-11-06,I Lost My Body,7.491,1201
False,"[16, 28, 14, 878]",39107,ja,ドラゴンボールZ 復活のフュージョン!! 悟空とベジータ,71.992,1995-03-04,Dragon Ball Z: Fusion Reborn,7.494,779
False,[35],10377,en,My Cousin Vinny,28.568,1992-03-13,My Cousin Vinny,7.49,1458
False,"[18, 10402, 10749]",69,en,Walk the Line,23.941,2005-09-13,Walk the Line,7.491,2718
False,"[28, 12, 878]",330459,en,Rogue One: A Star Wars Story,41.298,2016-12-14,Rogue One: A Star Wars Story,7.489,14723
False,"[10749, 18, 35]",43904,fr,L'Atalante,13.744,1934-04-24,L'Atalante,7.49,396
False,"[27, 878]",10787,en,The Invisible Man,21.988,1933-11-03,The Invisible Man,7.49,783
False,[35],10377,en,My Cousin Vinny,28.568,1992-03-13,My Cousin Vinny,7.49,1458
False,"[28, 53, 878]",500664,en,Upgrade,39.597,2018-05-31,Upgrade,7.489,4094
False,"[16, 28, 878]",71883,ja,レッドライン,26.842,2010-05-27,Redline,7.489,409
False,"[28, 80, 53]",7500,ja,Sonatine,16.184,1993-04-10,Sonatine,7.489,590
False,"[28, 12, 53, 10752]",1368,en,First Blood,56.963,1982-10-22,First Blood,7.489,5909
False,"[28, 35, 12]",383498,en,Deadpool 2,128.223,2018-05-10,Deadpool 2,7.488,16875
False,"[18, 36]",31767,en,The Devils,19.882,1971-07-16,The Devils,7.488,339
False,"[18, 10749]",11506,sv,Tystnaden,14.47,1963-09-23,The Silence,7.488,343
False,"[35, 18, 80]",8321,en,In Bruges,32.759,2008-02-08,In Bruges,7.488,4838
False,"[28, 10752, 12]",840326,fi,Sisu,71.85,2023-01-27,Sisu,7.487,1816
False,"[10751, 16, 12, 35]",431580,en,Abominable,29.88,2019-09-19,Abominable,7.487,1942
False,"[18, 14, 10749]",648,fr,La Belle et la Bête,12.299,1946-10-29,Beauty and the Beast,7.487,554
False,[18],203833,en,The Book Thief,28.049,2013-11-08,The Book Thief,7.486,4192
False,"[28, 35, 10749]",22538,en,Scott Pilgrim vs. the World,45.749,2010-08-12,Scott Pilgrim vs. the World,7.5,7512
False,"[35, 18]",9428,en,The Royal Tenenbaums,29.471,2001-10-05,The Royal Tenenbaums,7.486,4350
False,"[53, 9648, 18]",768362,en,Missing,34.437,2023-01-19,Missing,7.484,856
False,[18],18925,en,Facing the Giants,26.399,2006-09-29,Facing the Giants,7.484,397
False,"[10751, 16, 10770, 35]",13353,en,"It's the Great Pumpkin, Charlie Brown",20.225,1966-10-27,"It's the Great Pumpkin, Charlie Brown",7.484,364
False,"[28, 36, 10752]",8342,bs,No Man's Land,15.182,2001-05-12,No Man's Land,7.484,413
False,"[10751, 16, 35]",530,en,A Grand Day Out,22.151,1990-05-18,A Grand Day Out,7.484,791
False,"[27, 878]",229,en,Bride of Frankenstein,17.155,1935-04-20,Bride of Frankenstein,7.5,893
False,"[80, 28, 53]",204553,ko,감시자들,34.29,2013-07-03,Cold Eyes,7.483,318
False,"[18, 27, 878]",3035,en,Frankenstein,20.477,1931-11-21,Frankenstein,7.481,1473
False,"[28, 35, 53]",718930,en,Bullet Train,88.9,2022-08-03,Bullet Train,7.482,5432
False,"[53, 18, 9648, 80]",13528,en,Gaslight,25.543,1944-05-04,Gaslight,7.482,451
False,[18],11190,ru,Возвращение,11.106,2003-06-25,The Return,7.482,521
False,"[80, 53]",11016,en,Key Largo,13.505,1948-07-16,Key Largo,7.5,501
False,"[35, 53, 18]",10843,en,After Hours,25.954,1985-08-16,After Hours,7.5,1353
False,"[35, 36, 10402]",921785,it,Mixed by Erry,12.405,2023-03-02,Mixed by Erry,7.5,388
False,[18],10604,el,Αλέξης Ζορμπάς,19.282,1964-12-14,Zorba the Greek,7.481,318
False,"[18, 53, 9648]",345,en,Eyes Wide Shut,68.596,1999-07-16,Eyes Wide Shut,7.481,5828
False,"[10749, 18, 14]",994108,en,All of Us Strangers,61.406,2023-12-22,All of Us Strangers,7.478,319
False,"[18, 10402, 36, 35]",327331,en,The Dirt,28.398,2019-03-22,The Dirt,7.48,1167
False,"[18, 36, 10752]",9665,en,Glory,30.056,1989-12-15,Glory,7.48,1518
False,"[18, 36, 10752]",625,en,The Killing Fields,19.721,1984-11-23,The Killing Fields,7.48,693
False,"[35, 14]",620,en,Ghostbusters,93.496,1984-06-08,Ghostbusters,7.48,8465
False,[18],377273,pt,Aquarius,11.997,2016-09-01,Aquarius,7.479,447
False,[18],244088,it,Il capitale umano,10.092,2013-12-03,Human Capital,7.479,873
False,[27],27632,it,La maschera del demonio,14.701,1960-08-11,Black Sunday,7.5,489
False,"[18, 10749]",16642,en,Days of Heaven,21.833,1978-09-13,Days of Heaven,7.5,941
False,"[28, 18, 53]",176241,en,Prison Break: The Final Break,30.824,2009-05-24,Prison Break: The Final Break,7.478,618
False,"[16, 878]",28874,ja,サマーウォーズ,31.128,2009-08-01,Summer Wars,7.478,886
False,"[16, 10751, 35]",13377,en,How the Grinch Stole Christmas!,22.498,1966-12-18,How the Grinch Stole Christmas!,7.478,952
False,"[10751, 12, 18]",12837,en,The Secret Life of Bees,25.208,2008-09-17,The Secret Life of Bees,7.478,490
False,"[10749, 14, 18]",293863,en,The Age of Adaline,36.425,2015-04-16,The Age of Adaline,7.477,6293
False,"[35, 18, 10749, 80]",40823,pt,O Homem Que Copiava,8.702,2003-06-13,The Man Who Copied,7.5,328
False,[35],38396,it,Così è la vita,8.739,1998-12-18,That's Life,7.477,1284
False,"[35, 18]",10683,en,Happiness,13.728,1998-10-11,Happiness,7.5,757
False,"[16, 18, 14, 10751]",337703,fr,La tortue rouge,16.773,2016-06-29,The Red Turtle,7.476,1196
False,"[9648, 53, 80, 18]",19223,fr,Una pura formalità,12.107,1994-05-15,A Pure Formality,7.476,332
False,"[18, 53, 80, 9648]",186,en,Lucky Number Slevin,29.527,2006-02-24,Lucky Number Slevin,7.476,3874
False,"[18, 53, 9648]",192,en,The Name of the Rose,28.554,1986-09-24,The Name of the Rose,7.475,2840
False,"[10751, 16, 14]",73456,en,Barbie: Princess Charm School,45.091,2011-08-11,Barbie: Princess Charm School,7.474,750
False,"[28, 16, 80, 9648, 18]",14919,en,Batman: Mask of the Phantasm,35.633,1993-12-25,Batman: Mask of the Phantasm,7.5,1014
False,[18],615,en,The Passion of the Christ,112.411,2004-02-25,The Passion of the Christ,7.474,4168
False,"[18, 10749]",145,da,Breaking the Waves,19.924,1996-08-29,Breaking the Waves,7.5,911
False,"[10749, 18, 35]",431937,fr,Mr & Mme Adelman,20.26,2017-03-08,Mr & Mme Adelman,7.473,421
False,"[35, 10749]",34106,en,You Can't Take It with You,19.671,1938-09-01,You Can't Take It with You,7.473,366
False,"[16, 10751, 35]",13930,en,For the Birds,14.962,2000-11-02,For the Birds,7.5,1150
False,[18],11978,en,Men of Honor,34.754,2000-09-13,Men of Honor,7.472,2161
False,"[28, 53, 18]",866398,en,The Beekeeper,294.022,2024-01-08,The Beekeeper,7.471,1783
False,"[18, 36, 53]",483983,de,Ballon,12.905,2018-09-27,Balloon,7.471,399
False,"[28, 12, 16, 10751]",260513,en,Incredibles 2,80.178,2018-06-14,Incredibles 2,7.471,12380
False,"[878, 27, 53]",11549,en,Invasion of the Body Snatchers,22.237,1956-02-05,Invasion of the Body Snatchers,7.471,996
False,"[12, 35, 878]",196,en,Back to the Future Part III,34.322,1990-05-25,Back to the Future Part III,7.471,10040
False,"[16, 10752, 878]",736069,en,Justice Society: World War II,29.714,2021-04-27,Justice Society: World War II,7.47,524
False,"[18, 80]",9559,en,A Perfect World,26.131,1993-11-24,A Perfect World,7.47,1546
False,"[18, 53, 10752]",9075,nl,Zwartboek,22.014,2006-09-14,Black Book,7.47,1078
False,"[35, 18]",613090,es,Vivir dos veces,12.105,2019-09-06,"Live Twice, Love Once",7.469,322
False,"[16, 9648, 28, 80]",736073,en,"Batman: The Long Halloween, Part One",23.189,2021-06-21,"Batman: The Long Halloween, Part One",7.468,575
False,"[10752, 18]",16328,en,Johnny Got His Gun,17.174,1971-08-04,Johnny Got His Gun,7.468,355
False,"[35, 18]",11562,en,Crimes and Misdemeanors,21.91,1989-10-13,Crimes and Misdemeanors,7.468,819
False,"[35, 80, 10749]",3001,en,How to Steal a Million,22.35,1966-07-13,How to Steal a Million,7.468,554
False,"[35, 18]",771077,fr,En corps,19.49,2022-03-30,Rise,7.467,383
False,"[18, 35]",194662,en,Birdman or (The Unexpected Virtue of Ignorance),51.284,2014-10-17,Birdman or (The Unexpected Virtue of Ignorance),7.467,12425
False,"[878, 27, 14]",31682,en,The Incredible Shrinking Man,12.258,1957-02-22,The Incredible Shrinking Man,7.467,460
False,"[18, 80]",11798,en,This Is England,5.999,2006-09-12,This Is England,7.467,1193
False,"[28, 18, 80]",11344,ko,달콤한 인생,25.033,2005-04-01,A Bittersweet Life,7.467,806
False,"[28, 18, 9648, 53]",2501,en,The Bourne Identity,45.195,2002-06-14,The Bourne Identity,7.467,8901
False,"[28, 18, 9648, 53]",2501,en,The Bourne Identity,45.195,2002-06-14,The Bourne Identity,7.467,8901
False,"[35, 18, 10749]",219,es,Volver,16.965,2006-03-17,Volver,7.467,1626
False,"[16, 28, 27]",1083862,ja,バイオハザード：デスアイランド,93.932,2023-06-22,Resident Evil: Death Island,7.466,865
False,"[10402, 14, 35, 878, 10751, 10770]",809107,en,Z-O-M-B-I-E-S 3,30.505,2022-07-09,Z-O-M-B-I-E-S 3,7.464,365
False,"[53, 18, 9648, 14]",529216,es,Durante la tormenta,24.361,2018-11-30,Mirage,7.466,1711
False,"[18, 10749]",407445,en,Breathe,22.857,2017-10-13,Breathe,7.466,712
False,"[53, 9648]",8740,nl,Spoorloos,17.184,1988-10-27,The Vanishing,7.466,572
False,"[28, 18, 53]",4689,ko,복수는 나의 것,17.992,2002-03-29,Sympathy for Mr. Vengeance,7.466,1361
False,"[35, 10749]",114,en,Pretty Woman,61.472,1990-03-23,Pretty Woman,7.466,7805
False,"[16, 35, 10770]",874300,en,South Park: Post COVID: The Return of COVID,17.703,2021-12-16,South Park: Post COVID: The Return of COVID,7.465,368
False,"[28, 53]",697843,en,Extraction 2,82.583,2023-06-09,Extraction 2,7.466,2176
False,"[18, 35]",484747,fr,Les Chatouilles,8.084,2018-11-14,Little Tickles,7.465,312
False,"[35, 16, 12, 27]",203101,ja,学園黙示録 HIGHSCHOOL OF THE DEAD ドリフターズ・オブ・ザ・デッド,10.377,2011-04-25,High School of the Dead: Drifters of the Dead,7.465,449
False,"[10402, 35, 27]",27327,en,Phantom of the Paradise,19.379,1974-10-31,Phantom of the Paradise,7.465,609
False,[18],16858,en,All That Jazz,14.187,1979-12-16,All That Jazz,7.465,456
False,"[28, 18, 10752]",1251,en,Letters from Iwo Jima,22.322,2006-12-09,Letters from Iwo Jima,7.465,1939
False,"[28, 53, 18]",5503,en,The Fugitive,35.323,1993-08-06,The Fugitive,7.464,3989
False,"[35, 18, 10749]",4254,hi,कल हो ना हो,15.338,2003-11-27,Kal Ho Naa Ho,7.464,360
False,"[35, 18, 9648]",109,fr,Trois couleurs : Blanc,23.916,1994-01-26,Three Colors: White,7.464,1107
False,[18],319373,ja,あん,24.454,2015-05-30,Sweet Bean,7.463,496
False,"[35, 878, 14, 27]",36685,en,The Rocky Horror Picture Show,25.676,1975-08-14,The Rocky Horror Picture Show,7.463,2669
False,[28],17809,zh,精武英雄,20.603,1994-12-22,Fist of Legend,7.466,489
False,"[35, 10749]",11610,en,"Play It Again, Sam",14.241,1972-05-04,"Play It Again, Sam",7.463,535
False,[18],24226,en,The Verdict,26.407,1982-12-08,The Verdict,7.462,592
False,"[16, 10751, 35]",15165,en,Barbie as The Princess & the Pauper,45.053,2004-09-28,Barbie as The Princess & the Pauper,7.462,1417
False,"[18, 10749]",363,de,Gegen die Wand,9.072,2004-03-11,Head-On,7.462,514
False,"[878, 53]",828,en,The Day the Earth Stood Still,25.601,1951-09-28,The Day the Earth Stood Still,7.461,1041
False,"[10402, 18]",470878,en,I Can Only Imagine,26.725,2018-02-14,I Can Only Imagine,7.46,433
False,"[12, 35, 10751]",346648,en,Paddington 2,39.028,2017-11-09,Paddington 2,7.46,2206
False,"[80, 18]",18900,en,In Cold Blood,17.68,1967-12-15,In Cold Blood,7.46,337
False,"[35, 10402, 18]",13403,en,Hedwig and the Angry Inch,17.867,2001-07-20,Hedwig and the Angry Inch,7.5,353
False,"[37, 10749, 18]",3088,en,My Darling Clementine,17.879,1946-10-17,My Darling Clementine,7.46,397
False,"[18, 53, 80]",379,en,Miller's Crossing,28.148,1990-09-21,Miller's Crossing,7.46,1547
False,"[18, 10749]",239571,en,The Best of Me,26.51,2014-10-15,The Best of Me,7.459,2475
False,"[28, 18, 53]",9509,en,Man on Fire,39.899,2004-04-23,Man on Fire,7.459,4880
False,"[18, 10749, 12]",175,fr,Le Grand Bleu,30.499,1988-05-10,The Big Blue,7.459,1374
False,"[16, 14, 12]",41498,ja,ワンピース フィルム ストロングワールド,31.958,2009-12-12,One Piece: Strong World,7.458,331
False,"[28, 12]",11841,zh,少林三十六房,20.152,1978-02-02,The 36th Chamber of Shaolin,7.458,384
False,"[10749, 27]",6114,en,Bram Stoker's Dracula,48.721,1992-11-13,Bram Stoker's Dracula,7.458,4828
False,"[35, 18]",290,en,Barton Fink,20.569,1991-08-01,Barton Fink,7.458,1583
False,"[27, 9648, 53]",423108,en,The Conjuring: The Devil Made Me Do It,86.582,2021-05-25,The Conjuring: The Devil Made Me Do It,7.457,5632
False,"[28, 80, 53]",984,en,Dirty Harry,41.022,1971-12-23,Dirty Harry,7.457,2314
False,"[53, 9648]",574,en,The Man Who Knew Too Much,19.603,1956-05-16,The Man Who Knew Too Much,7.457,1309
False,"[28, 35, 878, 14]",251516,en,Kung Fury,12.518,2015-05-22,Kung Fury,7.456,1757
False,"[18, 35, 10749]",74643,fr,The Artist,44.902,2011-10-12,The Artist,7.456,3125
False,"[12, 10749, 10752]",22584,en,To Have and Have Not,17.156,1945-01-20,To Have and Have Not,7.456,479
False,"[80, 18, 10749]",877,en,Scarface,21.743,1932-04-09,Scarface,7.456,560
False,"[18, 36, 10752]",76758,zh,金陵十三釵,25.255,2011-12-15,The Flowers of War,7.455,753
