adult,genre_ids,id,original_language,original_title,popularity,release_date,title,vote_average,vote_count
False,"[18, 35]",644479,es,Dedicada A Mi Ex,10.976,2019-11-01,Dedicated to my ex,8.32,494
False,"[12, 35, 878]",105,en,Back to the Future,73.105,1985-07-03,Back to the Future,8.317,19109
False,"[16, 878, 28, 18]",18491,ja,新世紀エヴァンゲリオン劇場版 Air／まごころを、君に,75.404,1997-07-19,Neon Genesis Evangelion: The End of Evangelion,8.3,1472
False,[18],599,en,Sunset Boulevard,27.908,1950-08-10,Sunset Boulevard,8.316,2432
False,[18],207,en,Dead Poets Society,43.735,1989-06-02,Dead Poets Society,8.314,10705
False,"[16, 10751, 14, 35]",1139087,en,Once Upon a Studio,53.708,2023-09-24,Once Upon a Studio,8.313,313
False,"[80, 18, 28]",101,en,Léon: The Professional,66.182,1994-09-14,Léon: The Professional,8.311,14173
False,[18],3782,ja,生きる,20.284,1952-10-09,Ikiru,8.301,1039
False,"[16, 53]",10494,ja,PERFECT BLUE,50.279,1998-02-28,Perfect Blue,8.3,2368
False,"[18, 80, 53]",12493,ja,天国と地獄,31.06,1963-03-01,High and Low,8.299,810
False,"[35, 18]",3082,en,Modern Times,27.735,1936-02-05,Modern Times,8.294,3529
False,"[18, 37]",335,it,C'era una volta il West,47.124,1968-12-21,Once Upon a Time in the West,8.3,4088
False,"[35, 10749, 18]",901,en,City Lights,26.554,1931-02-01,City Lights,8.287,2048
False,"[18, 10752]",28,en,Apocalypse Now,46.177,1979-08-15,Apocalypse Now,8.284,7807
False,"[16, 18, 10749]",652837,ja,ジョゼと虎と魚たち,34.392,2020-12-25,"Josee, the Tiger and the Fish",8.282,417
False,"[18, 35]",77338,fr,Intouchables,53.103,2011-11-02,The Intouchables,8.28,16639
False,"[18, 53, 80]",29259,fr,Le Trou,16.22,1960-03-18,Le Trou,8.3,431
False,"[18, 53]",16672,ja,砂の女,38.401,1964-02-15,Woman in the Dunes,8.28,382
False,"[35, 18]",1026227,it,C'è ancora domani,17.06,2023-10-26,There's Still Tomorrow,8.3,687
False,"[18, 10749]",447362,en,Life in a Year,50.329,2020-11-27,Life in a Year,8.3,1735
False,"[16, 10751, 12, 14]",995133,en,"The Boy, the Mole, the Fox and the Horse",46.788,2022-12-25,"The Boy, the Mole, the Fox and the Horse",8.277,482
False,"[16, 18, 10402, 10749]",632632,ja,映画 ギヴン,18.348,2020-08-22,Given,8.273,372
False,"[10749, 18]",527641,en,Five Feet Apart,47.486,2019-03-14,Five Feet Apart,8.273,5389
False,"[18, 10751, 14]",1585,en,It's a Wonderful Life,38.313,1946-12-20,It's a Wonderful Life,8.3,4078
False,"[10752, 18, 36]",975,en,Paths of Glory,25.921,1957-10-25,Paths of Glory,8.27,2721
False,[18],637920,tr,7. Koğuştaki Mucize,30.059,2019-10-10,Miracle in Cell No. 7,8.3,4289
False,"[18, 10752]",25237,ru,Иди и смотри,30.031,1985-10-17,Come and See,8.268,1332
False,"[18, 10402]",10376,it,La leggenda del pianista sull'oceano,22.471,1998-10-28,The Legend of 1900,8.265,2161
False,"[18, 53, 9648, 28]",670,ko,올드보이,32.399,2003-11-21,Oldboy,8.263,8174
False,"[16, 14, 10749, 18]",533514,ja,劇場版 ヴァイオレット・エヴァーガーデン,39.14,2020-09-18,Violet Evergarden: The Movie,8.26,384
False,"[10402, 18, 10749]",630566,en,Clouds,19.98,2020-10-09,Clouds,8.258,978
False,"[12, 878, 28]",299534,en,Avengers: Endgame,92.032,2019-04-24,Avengers: Endgame,8.257,24633
False,"[10751, 16, 18]",8587,en,The Lion King,113.099,1994-06-24,The Lion King,8.257,17546
False,"[16, 28, 878, 18]",283566,ja,シン・エヴァンゲリオン劇場版:||,53.542,2021-03-08,Evangelion: 3.0+1.0 Thrice Upon a Time,8.25,741
False,"[16, 10751, 12, 35, 14]",508965,en,Klaus,29.714,2019-11-08,Klaus,8.2,3823
